4|1989
4|1999
4|2000
4|1991
4|2011
4|1981
4|2011
4|1994
4|2006
4|1982
4|2011
4|2010
4|1991
4|2009
4|1993
4|1999
4|1968
4|1987
4|1975
4|2002
4|2003
4|2000
4|2007
4|2004
4|2003
4|1984
4|2009
4|1989
4|1992
4|2008
4|1991
4|2010
4|1978
4|2003
4|1991
4|2003
4|2011
4|2003
4|1987
4|2011
4|1994
4|2001
4|1989
4|2009
4|1989
4|2001
4|2010
4|2006
4|2010
4|1991
4|2008
4|2003
4|2011
4|2008
4|1990
4|1981
4|2009
4|1983
4|2011
4|2009
4|1999
4|1993
4|2007
4|1992
4|2005
4|2005
4|2004
4|1986
4|1971
4|1993
4|1986
4|2010
4|2005
4|1997
4|2010
4|2009
4|1987
4|2008
4|1998
4|2006
4|1995
4|2006
4|1991
4|1997
4|2005
4|2009
4|2000
4|1997
4|1981
4|2004
4|1990
4|1989
4|2002
4|2007
4|1993
4|2005
4|2006
4|1998
4|1988
4|2010
4|1999
4|1992
4|2004
4|1993
4|2008
4|1986
4|2007
4|2009
4|2010
4|1998
4|1981
4|1986
4|2008
4|2005
4|2006
4|2008
4|1995
4|2008
4|2003
4|2005
4|2001
4|1992
4|2007
4|1995
4|1988
4|1991
4|2010
4|2005
4|2010
4|1999
4|1991
4|2004
4|1991
4|1997
4|2002
4|2008
4|2007
4|2009
4|2008
4|2005
4|2000
4|2005
4|1996
4|1994
4|2004
4|1997
4|2010
4|2005
4|2010
4|1998
4|2010
4|2011
4|2003
4|2001
4|1994
4|1994
4|2011
4|2001
4|2003
4|1988
4|2008
4|2006
4|1986
4|2008
4|2009
4|2005
4|1989
4|2004
4|2009
4|2006
4|2007
4|1996
4|2004
4|1984
4|2003
4|2010
4|1986
4|2004
4|2008
4|1997
4|1992
4|2009
4|1989
4|1995
4|2011
4|1988
4|2003
4|2007
4|2006
4|1983
4|2006
4|2005
4|2010
4|2007
4|2007
4|2010
4|2011
4|2011
4|2005
4|2008
4|2012
4|2005
4|1971
4|2011
4|1996
4|2010
4|2005
4|1979
4|1989
4|2006
4|2012
4|1999
4|1998
4|2004
4|2006
4|2000
4|1966
4|2004
4|2005
4|1998
4|2001
4|2010
4|1996
4|2008
4|2002
4|2008
4|1981
4|1997
4|2008
4|2009
4|1986
4|2003
4|2007
4|1996
4|1982
4|2008
4|1981
4|1992
4|2004
4|1977
4|1999
4|2004
4|2010
4|2010
4|1997
4|1998
4|1996
4|1973
4|2000
4|2011
4|2008
3|2002
3|2007
3|2007
3|1980
3|2008
3|1998
3|2011
3|1977
3|2002
3|2008
3|2008
3|1998
3|1982
3|2009
3|2012
3|2008
3|1998
3|1985
3|1992
3|1983
3|2005
3|2003
3|1987
3|1981
3|1984
3|2004
3|2006
3|1992
3|1989
3|1982
3|2007
3|2006
3|2001
3|1995
3|1989
3|2009
3|1988
3|2008
3|2008
3|1990
3|1977
3|1999
3|2003
3|1983
3|2003
3|1996
3|2008
3|2010
3|1977
3|1984
3|2004
3|1970
3|2009
3|1991
3|2010
3|2009
3|1977
3|1988
3|2008
3|1991
3|2007
3|1986
3|2010
3|1993
3|1981
3|1980
3|2006
3|2006
3|1972
3|1977
3|1990
3|1965
3|2002
3|1989
3|2011
3|1977
3|2009
3|1995
3|2001
3|2010
3|1966
3|2010
3|2010
3|2010
3|2008
3|1990
3|2009
3|2006
3|2010
3|1977
3|1990
3|1990
3|2006
3|2004
3|2004
3|2008
3|1998
3|2007
3|2011
3|2006
3|2007
3|2008
3|2009
3|2011
3|2007
3|2011
3|2005
3|1992
3|2007
3|2009
3|2003
3|2009
3|2000
3|2011
3|2007
3|2005
3|2009
3|1983
3|2006
3|2000
3|2005
3|2001
3|2010
3|2010
3|2009
3|2004
3|2011
3|2010
3|2007
3|2004
3|2010
3|1979
3|2011
3|2011
3|2008
3|2008
3|1980
3|2004
3|2011
3|2010
3|2011
3|2008
3|2007
3|2006
3|2006
3|2007
3|2005
3|1999
3|2005
3|1982
3|2011
3|2009
3|2006
3|1986
3|2011
3|1986
3|1996
3|2011
3|1970
3|2010
3|2009
3|2007
3|2009
3|2005
3|1994
3|2006
3|2011
3|2010
3|1979
3|1988
3|2008
3|2009
3|1994
3|1999
3|1988
3|1998
3|1998
3|1990
3|2011
3|2011
3|2005
3|2004
3|2005
3|2009
3|2011
3|1989
3|1972
3|2010
3|2006
3|2001
3|1987
3|2009
3|2007
3|1978
3|2011
3|2009
3|1984
3|2007
3|1988
3|1993
3|2003
3|2006
3|2009
3|2009
3|2005
3|2007
3|2001
3|1984
3|2006
3|1999
3|2011
3|2010
3|1992
3|2005
3|2000
3|2003
3|2010
3|2005
3|2011
3|2011
3|2009
3|2004
3|1968
3|2008
3|2005
3|1987
3|2003
3|1982
3|2009
3|2004
3|2010
3|1986
3|2007
3|2007
3|1983
3|1983
3|2011
3|1980
3|1968
3|1997
3|2010
3|2002
3|2011
3|2008
3|2011
3|2010
3|1995
3|2004
3|2007
3|1983
3|2009
3|1955
3|1991
3|2002
3|1985
3|2010
3|1990
3|2006
3|1994
3|2004
3|1986
3|2000
3|2010
3|2010
3|2001
3|2006
3|2010
3|1978
3|1991
3|2007
3|2006
3|2005
3|1982
3|2007
3|1998
3|1989
3|2002
3|2003
3|1999
3|1989
3|1987
3|2004
3|1994
3|2004
3|1999
3|2009
3|1996
3|2005
3|2011
3|2007
3|1999
3|1999
3|1999
3|2004
3|2006
3|1981
3|2010
3|2007
3|2008
3|2004
3|1995
3|1986
3|1992
3|2011
3|2001
3|1999
3|2011
3|2000
3|2007
3|1997
3|1991
3|2011
3|1974
3|1994
3|1979
3|2003
3|2011
3|1986
3|1948
3|1997
3|2001
3|2003
3|2009
3|1986
3|2001
3|1977
3|1992
3|2007
3|2010
3|2010
3|2011
3|2008
3|1990
3|2009
3|1987
3|2010
3|1974
3|1995
3|2006
3|2005
3|2005
3|1999
3|1980
3|2002
3|2003
3|2011
3|1981
3|1996
3|1999
3|2010
3|2009
3|1981
3|2004
3|2008
3|2007
3|2005
3|2005
3|1981
3|2003
3|2010
3|2000
3|2005
3|2009
3|2009
3|2005
3|1992
3|1985
3|1999
3|2004
3|2005
3|2010
3|2003
3|1999
3|2000
3|1990
3|2007
3|2007
3|2006
3|1988
3|2004
3|1996
3|2009
3|1998
3|2007
3|1992
3|1988
3|2009
3|2006
3|2005
3|2001
3|1995
3|2008
3|2007
3|2007
3|2004
3|2010
3|1992
3|2004
3|2011
3|1999
3|2008
3|2009
3|1987
3|1975
3|1997
3|2006
3|1994
3|2011
3|1998
3|1979
3|2000
3|1976
3|2009
3|2012
3|2008
3|1989
3|1986
3|1997
3|1991
3|2007
3|1996
3|2006
3|2007
3|2002
3|2001
3|1985
3|2011
3|1992
3|1997
3|2006
3|1990
3|2008
3|1996
3|1994
3|2005
3|2002
3|1998
3|2011
3|2001
3|1993
3|1985
3|1997
3|2005
3|2009
3|2011
3|1994
3|2010
3|2006
3|1990
3|1992
3|2002
3|2009
3|2009
3|2006
3|2007
3|2009
3|2011
3|2002
3|2009
3|1976
3|2009
3|1990
3|2010
3|2004
3|2004
3|1999
3|2010
3|2011
3|1993
3|2011
3|2007
3|2003
3|2002
3|1993
3|1998
3|1995
3|1984
3|1979
3|2010
3|2006
3|1999
3|2011
3|1995
3|2006
3|1983
3|2002
3|1980
3|2007
3|1968
3|1989
3|2009
3|2008
3|1991
3|1983
3|1987
3|1973
3|2005
3|2010
3|2003
3|1996
3|1986
3|2006
3|2011
3|1999
3|2003
3|1990
3|2001
3|2007
3|2008
3|1998
3|2001
3|2005
3|2007
3|2000
3|2006
3|2010
3|2011
3|2000
3|2007
3|2009
3|1975
3|2008
3|2009
3|2010
3|1993
3|1980
3|1981
3|2008
3|1983
3|1998
3|2004
3|2010
3|1997
3|1992
3|1987
3|2008
3|2006
3|1988
3|1994
3|2007
3|1996
3|1997
3|1986
3|1992
3|2011
3|1987
3|2007
3|2001
3|2011
3|2009
3|1987
3|2003
3|2005
3|2011
3|2002
3|2005
3|2007
3|1994
3|2011
3|2007
3|2001
3|1979
3|2010
3|1993
3|2002
3|1992
3|1996
3|2006
3|2009
3|1985
3|2010
3|1970
3|1993
3|2008
3|2009
3|2007
3|1960
3|2010
3|2008
3|2011
3|2005
3|1991
3|1992
3|1988
3|2009
3|2005
3|2000
3|1957
3|2009
3|2011
3|2010
3|2008
3|2002
3|2001
3|2003
3|2008
3|2000
3|2001
3|2000
2|1972
2|2010
2|1999
2|2000
2|1990
2|1976
2|1988
2|1977
2|1984
2|1992
2|1983
2|2005
2|2000
2|1969
2|2002
2|1991
2|2006
2|1988
2|1971
2|1995
2|1973
2|2003
2|2000
2|1988
2|1993
2|1998
2|1979
2|2005
2|2010
2|2000
2|1993
2|1979
2|2001
2|1992
2|2009
2|1980
2|1981
2|1983
2|2011
2|1979
2|1989
2|1992
2|2003
2|1999
2|2011
2|2004
2|2000
2|1984
2|1987
2|2011
2|2004
2|2011
2|2008
2|2010
2|1988
2|2006
2|2004
2|2005
2|1965
2|2002
2|1989
2|1986
2|2004
2|1990
2|2005
2|2011
2|1989
2|1973
2|2007
2|2006
2|1969
2|2010
2|1992
2|2005
2|2008
2|1989
2|2007
2|2011
2|1976
2|2009
2|2001
2|1995
2|2007
2|1970
2|1977
2|2011
2|1987
2|2005
2|2011
2|2010
2|2010
2|2006
2|1999
2|2009
2|1999
2|2009
2|2009
2|2004
2|2000
2|2008
2|2003
2|2000
2|1981
2|1994
2|2008
2|2004
2|2005
2|1998
2|1995
2|1999
2|1973
2|1972
2|2011
2|2008
2|2010
2|2007
2|2011
2|1991
2|2008
2|2009
2|1990
2|2010
2|2001
2|2008
2|1990
2|2008
2|2006
2|2006
2|2011
2|1993
2|2003
2|2008
2|1998
2|1990
2|2008
2|1976
2|2010
2|2011
2|2010
2|2002
2|1995
2|2000
2|2011
2|2012
2|2008
2|1999
2|2000
2|1993
2|2008
2|2012
2|2000
2|2002
2|2000
2|2011
2|2001
2|2000
2|2006
2|2000
2|1997
2|2001
2|2011
2|2005
2|1987
2|1993
2|1986
2|2009
2|2011
2|2011
2|2007
2|2006
2|2011
2|2010
2|1980
2|1990
2|2011
2|2009
2|2005
2|2003
2|2006
2|1997
2|2008
2|1999
2|1992
2|1986
2|2005
2|1980
2|2011
2|2010
2|2008
2|2010
2|1997
2|2011
2|2002
2|1990
2|2007
2|2011
2|2007
2|2011
2|1970
2|2011
2|2010
2|2005
2|2007
2|2000
2|2010
2|2010
2|2000
2|2006
2|2010
2|1998
2|2010
2|1980
2|2006
2|2008
2|1984
2|1983
2|2006
2|2003
2|2006
2|2004
2|2001
2|1990
2|2007
2|2007
2|2010
2|2012
2|2007
2|2005
2|2011
2|1978
2|1983
2|1973
2|2004
2|2001
2|2010
2|2006
2|1993
2|1984
2|2010
2|2010
2|2011
2|1975
2|2007
2|2000
2|2008
2|2005
2|1990
2|2010
2|2000
2|1996
2|1990
2|1991
2|1996
2|2010
2|1976
2|2010
2|2009
2|1984
2|1993
2|2006
2|2004
2|1984
2|2005
2|2004
2|2007
2|2008
2|2010
2|2011
2|2003
2|1998
2|1999
2|2002
2|2009
2|1998
2|1988
2|2006
2|2003
2|1991
2|2009
2|2010
2|1982
2|2007
2|1997
2|2010
2|1999
2|2007
2|2005
2|1975
2|2008
2|1988
2|1985
2|2010
2|1983
2|1978
2|2006
2|1995
2|2006
2|2010
2|1999
2|1988
2|2005
2|2011
2|1984
2|2007
2|1997
2|2007
2|1985
2|2005
2|2009
2|1997
2|2008
2|2010
2|2000
2|2010
2|2002
2|2011
2|1992
2|2011
2|1995
2|2009
2|2003
2|2008
2|2011
2|2010
2|2010
2|2008
2|1977
2|1985
2|2003
2|2005
2|1994
2|2000
2|1987
2|1986
2|2005
2|2004
2|1990
2|1986
2|1996
2|1991
2|1990
2|2000
2|2008
2|2008
2|2006
2|2008
2|2009
2|1978
2|2005
2|2009
2|1999
2|2006
2|2012
2|1982
2|2002
2|1996
2|1995
2|1991
2|1999
2|1994
2|2010
2|1991
2|2001
2|2007
2|1980
2|2003
2|2010
2|2010
2|2004
2|1992
2|2000
2|2005
2|1977
2|2003
2|1997
2|1997
2|2003
2|2005
2|1993
2|1980
2|1984
2|2010
2|2009
2|1982
2|1996
2|2005
2|2010
2|2010
2|1989
2|2010
2|2008
2|1997
2|2010
2|1988
2|2009
2|1999
2|2010
2|2010
2|2002
2|2001
2|2004
2|1998
2|2007
2|2009
2|2007
2|1988
2|2009
2|2007
2|1982
2|2011
2|2010
2|2009
2|2007
2|2005
2|2009
2|2009
2|1988
2|2005
2|2006
2|1987
2|2005
2|1985
2|2011
2|1996
2|1999
2|2008
2|2011
2|2007
2|2011
2|2006
2|2007
2|2002
2|1992
2|2008
2|1992
2|2008
2|1978
2|2011
2|1985
2|2010
2|1987
2|2002
2|2003
2|1986
2|1995
2|2003
2|1971
2|2008
2|2008
2|2008
2|2009
2|2006
2|2003
2|2010
2|2009
2|2005
2|1985
2|2002
2|2011
2|1973
2|1993
2|1983
2|2002
2|2000
2|2009
2|2003
2|2008
2|1996
2|1999
2|1993
2|2001
2|1983
2|2003
2|1992
2|1991
2|2004
2|2010
2|1987
2|2010
2|2007
2|1993
2|2006
2|2011
2|1986
2|2009
2|1998
2|2001
2|1983
2|1987
2|2006
2|2008
2|2010
2|2006
2|2006
2|2007
2|2008
2|2004
2|1996
2|2011
2|2001
2|2007
2|1999
2|1987
2|2010
2|2010
2|1994
2|2004
2|2010
2|2006
2|2004
2|1997
2|2011
2|1994
2|2011
2|2010
2|2006
2|2006
2|2005
2|2003
2|1988
2|2001
2|2008
2|2003
2|2006
2|2000
2|1988
2|2008
2|2007
2|2005
2|2008
2|1994
2|1997
2|2010
2|2011
2|1985
2|1980
2|2009
2|1990
2|2009
2|2008
2|1991
2|1970
2|1983
2|2008
2|2007
2|2005
2|2009
2|2001
2|1998
2|2007
2|2009
2|2009
2|2007
2|2011
2|2009
2|1998
2|2004
2|2000
2|2005
2|2010
2|2007
2|2009
2|1999
2|2004
2|2008
2|2000
2|1985
2|2009
2|2005
2|2000
2|2011
2|2011
2|2007
2|2011
2|1984
2|2008
2|2008
2|1970
2|2011
2|2000
2|2008
2|2006
2|2008
2|1989
2|2010
2|2006
2|2011
2|2001
2|2005
2|2010
2|1973
2|2001
2|1980
2|2010
2|1993
2|2008
2|2009
2|2011
2|1993
2|2008
2|2009
2|2006
2|2007
2|1999
2|2008
2|2011
2|2001
2|2005
2|1984
2|1992
2|1992
2|2005
2|1993
2|2010
2|2011
2|1995
2|2007
2|2009
2|1987
2|1997
2|2001
2|2008
2|2011
2|1981
2|2002
2|1988
2|1986
2|2007
2|1980
2|2010
2|1990
2|2010
2|2000
2|2005
2|2003
2|2001
2|2011
2|2000
2|2005
2|1998
2|1997
2|1989
2|1998
2|1980
2|2010
2|2007
2|2011
2|2011
2|2006
2|1990
2|2009
2|2010
2|2010
2|2010
2|1998
2|1980
2|2007
2|1994
2|2007
2|2009
2|1970
2|2009
2|1998
2|2008
2|1995
2|1998
2|2003
2|1993
2|1999
2|2009
2|1994
2|1969
2|2006
2|2008
2|2007
2|2009
2|2005
2|1994
2|2001
2|1979
2|1971
2|2006
2|1988
2|2002
2|1997
2|1991
2|2001
2|1995
2|1994
2|1997
2|2010
2|1995
2|2006
2|1995
2|1999
2|2010
2|1984
2|2011
2|2006
2|2007
2|2011
2|2011
2|1995
2|2010
2|2004
2|2012
2|2004
2|2004
2|1994
2|2011
2|2011
2|2005
2|1993
2|2009
2|1979
2|1974
2|2009
2|2011
2|2008
2|2011
2|2009
2|2009
2|2009
2|1984
2|1996
2|1992
2|2007
2|1994
2|2008
2|1999
2|2010
2|2009
2|2000
2|1978
2|1996
2|2006
2|1994
2|2000
2|1998
2|2008
2|2004
2|2007
2|2007
2|1991
2|2011
2|2012
2|2001
2|2008
2|2002
2|2003
2|1993
2|2010
2|1957
2|1993
2|2004
2|2010
2|1986
2|2011
2|2007
2|2007
2|2001
2|2009
2|1985
2|1976
2|1992
2|2003
2|1982
2|2006
2|2008
2|1995
2|1995
2|2007
2|2011
2|2002
2|2001
2|1991
2|1997
2|2001
2|1942
2|1993
2|1966
2|2004
2|1997
2|2009
2|1981
2|2001
2|1992
2|1995
2|2001
2|2001
2|1987
2|2010
2|2004
2|1997
2|2007
2|2010
2|2004
2|2007
2|2003
2|2002
2|2011
2|2009
2|2009
2|2011
2|2007
2|2011
2|2009
2|1976
2|1993
2|2010
2|2008
2|1996
2|2004
2|2008
2|1996
2|1987
2|1985
2|2012
2|1986
2|1986
2|2009
2|2005
2|2000
2|2009
2|2000
2|2008
2|1971
2|1996
2|1985
2|2004
2|1992
2|1976
2|1992
2|1981
2|2005
2|2010
2|2009
2|2007
2|2010
2|1994
2|2002
2|1984
2|2011
2|1988
2|2010
2|2009
2|1979
2|2000
2|2006
2|2011
2|1998
2|2010
2|1993
2|2008
2|1993
2|1988
2|2007
2|1999
2|2008
2|2009
2|2011
2|2011
2|2007
2|2008
1|2002
1|2002
1|2011
1|2008
1|2002
1|1979
1|2008
1|2002
1|2010
1|2002
1|2003
1|1991
1|2005
1|2006
1|2001
1|2006
1|1983
1|2011
1|1984
1|1995
1|1969
1|2009
1|2000
1|2008
1|2006
1|1999
1|2005
1|2012
1|2005
1|2009
1|2002
1|2011
1|2003
1|1990
1|2009
1|2009
1|2000
1|2003
1|2000
1|1997
1|1971
1|1982
1|2005
1|2011
1|2006
1|2005
1|1986
1|2007
1|1984
1|1992
1|2006
1|1979
1|2004
1|1992
1|2009
1|1985
1|1991
1|2011
1|1970
1|1969
1|2010
1|1977
1|2000
1|2010
1|2005
1|2009
1|2011
1|2010
1|2004
1|2001
1|2008
1|2003
1|2007
1|1998
1|2010
1|1992
1|2005
1|2008
1|2003
1|1985
1|2008
1|2007
1|2004
1|1995
1|2010
1|2000
1|2011
1|2006
1|2000
1|1987
1|1995
1|1991
1|1991
1|1986
1|2010
1|2008
1|2002
1|2007
1|1997
1|2005
1|1983
1|1999
1|2009
1|2010
1|2006
1|1971
1|2001
1|2001
1|2010
1|2006
1|2009
1|2004
1|1972
1|2007
1|2000
1|1982
1|2004
1|2001
1|1972
1|2003
1|1995
1|1987
1|1983
1|1984
1|1977
1|2009
1|1996
1|2004
1|1998
1|2007
1|1973
1|2010
1|2010
1|2001
1|2007
1|2011
1|2008
1|2011
1|2006
1|2002
1|2009
1|1995
1|1966
1|2002
1|2011
1|1977
1|2009
1|2006
1|1990
1|2009
1|1992
1|2011
1|2010
1|2010
1|2006
1|2010
1|1994
1|1990
1|2010
1|2011
1|1978
1|1993
1|2004
1|2001
1|2007
1|1990
1|2006
1|2005
1|1983
1|2010
1|2008
1|1999
1|1980
1|2010
1|2004
1|2004
1|2007
1|1979
1|2007
1|2011
1|2005
1|2011
1|2009
1|2009
1|2008
1|1997
1|2002
1|2008
1|2009
1|2009
1|1993
1|1998
1|2011
1|2007
1|2009
1|1994
1|1980
1|1987
1|2003
1|1986
1|2011
1|2002
1|2011
1|2009
1|1999
1|2012
1|2011
1|1981
1|2008
1|2011
1|2006
1|2008
1|2011
1|2008
1|2009
1|1995
1|2006
1|2010
1|2011
1|2003
1|2007
1|1994
1|2010
1|2003
1|2007
1|2011
1|2007
1|2003
1|1995
1|2008
1|1997
1|2006
1|2011
1|2006
1|2011
1|2011
1|1993
1|2007
1|2012
1|1986
1|1991
1|1900
1|2005
1|2011
1|1982
1|2008
1|2006
1|2011
1|2008
1|2008
1|2010
1|2004
1|1992
1|2011
1|2011
1|2005
1|1990
1|2004
1|1996
1|2011
1|2007
1|2008
1|2011
1|2005
1|2006
1|2007
1|2011
1|1793
1|2011
1|2011
1|1991
1|2009
1|1994
1|1993
1|2005
1|1992
1|1996
1|2004
1|2001
1|2008
1|2012
1|1999
1|2009
1|1993
1|1999
1|2007
1|1990
1|2012
1|2008
1|2008
1|2010
1|1999
1|1984
1|2011
1|2011
1|2009
1|2004
1|2004
1|2003
1|2000
1|1980
1|1989
1|2011
1|2000
1|2010
1|2010
1|2008
1|2011
1|1981
1|2010
1|2011
1|2011
1|2011
1|2005
1|1987
1|2003
1|1982
1|2009
1|2010
1|2009
1|1993
1|1991
1|2010
1|2002
1|1999
1|2010
1|2005
1|1999
1|2001
1|2006
1|2012
1|2009
1|2009
1|1986
1|2011
1|2011
1|2007
1|2011
1|2010
1|2009
1|2011
1|2005
1|1968
1|1954
1|2011
1|2006
1|1999
1|2009
1|2007
1|2010
1|2009
1|2005
1|2010
1|2011
1|2010
1|2001
1|1998
1|1992
1|1976
1|2009
1|2009
1|1977
1|1998
1|2010
1|1994
1|2010
1|1994
1|2009
1|2011
1|1998
1|2012
1|2004
1|1981
1|2011
1|2010
1|1990
1|1998
1|2001
1|1989
1|1992
1|2011
1|1984
1|1977
1|2009
1|1992
1|1991
1|2011
1|1993
1|1997
1|1977
1|2006
1|2007
1|1993
1|1991
1|1990
1|2009
1|1990
1|1995
1|1972
1|2007
1|1995
1|2005
1|2011
1|1997
1|2010
1|1990
1|2001
1|1987
1|2010
1|2009
1|1996
1|1990
1|1999
1|2007
1|2003
1|1997
1|2007
1|1998
1|1992
1|1982
1|2008
1|2005
1|2011
1|1991
1|1994
1|2001
1|2002
1|2009
1|1998
1|2010
1|2004
1|2006
1|2006
1|2011
1|2006
1|1996
1|2005
1|2011
1|2011
1|1992
1|2006
1|1995
1|2011
1|1993
1|2003
1|2008
1|2010
1|1998
1|2011
1|1995
1|1996
1|1984
1|2009
1|2011
1|1972
1|1990
1|1992
1|2009
1|1993
1|2001
1|1992
1|1984
1|1982
1|2010
1|1964
1|2008
1|2010
1|1985
1|2010
1|1981
1|1998
1|2010
1|2007
1|1998
1|2007
1|1985
1|2011
1|2005
1|2010
1|2008
1|2006
1|2001
1|1986
1|1971
1|2004
1|2008
1|1984
1|2011
1|1996
1|1970
1|2009
1|2009
1|2010
1|2011
1|2006
1|2008
1|2011
1|1993
1|2011
1|2010
1|2009
1|1982
1|1988
1|1991
1|1984
1|2011
1|2009
1|2007
1|2008
1|1990
1|1964
1|2006
1|1987
1|1997
1|1985
1|1999
1|2010
1|2009
1|1997
1|1995
1|2003
1|1994
1|1999
1|1996
1|1988
1|2011
1|2010
1|2010
1|2010
1|1988
1|1992
1|1976
1|2007
1|1994
1|2010
1|1995
1|1992
1|2010
1|1986
1|2011
1|1984
1|2010
1|2010
1|2009
1|2008
1|1994
1|1990
1|1985
1|2010
1|2009
1|2005
1|2008
1|2011
1|2009
1|2011
1|1995
1|2010
1|1999
1|2010
1|2011
1|1987
1|1988
1|1997
1|1993
1|1982
1|2011
1|2001
1|1993
1|2009
1|2009
1|1991
1|1991
1|2001
1|1997
1|1982
1|2010
1|1984
1|2008
1|1993
1|2011
1|2010
1|2002
1|2011
1|1984
1|2008
1|2011
1|2006
1|1985
1|2001
1|2011
1|2008
1|2000
1|1981
1|2004
1|2002
1|2011
1|1986
1|2004
1|2008
1|2011
1|2008
1|2008
1|2011
1|1996
1|2007
1|2004
1|2008
1|2012
1|1999
1|2009
1|2003
1|2009
1|2005
1|1986
1|1976
1|1995
1|1984
1|1988
1|2011
1|2004
1|2009
1|2011
1|2001
1|2010
1|1987
1|1983
1|1981
1|1989
1|2008
1|2008
1|2012
1|1980
1|2009
1|1988
1|2006
1|1981
1|2002
1|2010
1|1999
1|2010
1|1991
1|2006
1|2003
1|1985
1|2007
1|2010
1|2007
1|2002
1|2011
1|2005
1|2012
1|1983
1|2001
1|2011
1|2011
1|2004
1|1981
1|2006
1|2008
1|1990
1|2008
1|2010
1|2007
1|1984
1|2003
1|2003
1|2011
1|2004
1|2003
1|2003
1|2009
1|2010
1|2011
1|2011
1|2010
1|2008
1|2010
1|2011
1|2011
1|2010
1|1999
1|1994
1|2008
1|2003
1|2011
1|1979
1|1983
1|1994
1|1982
1|2007
1|2010
1|2002
1|2012
1|2011
1|2003
1|2011
1|2007
1|1983
1|1997
1|2008
1|2010
1|1982
1|1992
1|2010
1|1981
1|2010
1|1983
1|1996
1|2006
1|2007
1|2004
1|1988
1|2002
1|1984
1|2007
1|2011
1|2008
1|1968
1|1982
1|1989
1|1979
1|1981
1|2010
1|1987
1|2008
1|1991
1|1990
1|2009
1|2011
1|1980
1|2004
1|1992
1|2007
1|2006
1|1979
1|2008
1|2003
1|2011
1|2005
1|2000
1|2010
1|2009
1|1993
1|1980
1|2008
1|2009
1|2011
1|2010
1|1988
1|2008
1|2000
1|2010
1|2002
1|2010
1|2009
1|1992
1|2006
1|2005
1|2003
1|1983
1|2005
1|2010
1|1990
1|2010
1|2010
1|2006
1|1973
1|2010
1|1995
1|2011
1|1988
1|2003
1|2011
1|2011
1|2009
1|2007
1|2006
1|2000
1|2011
1|1988
1|2009
1|1988
1|2010
1|2005
1|1980
1|2009
1|2011
1|1995
1|1990
1|1977
1|1996
1|2007
1|2008
1|1999
1|2004
1|1997
1|2008
1|2012
1|1978
1|1999
1|2007
1|2007
1|1997
1|2006
1|1991
1|2004
1|1996
1|1998
1|2005
1|2002
1|1989
1|1987
1|2009
1|1996
1|1999
1|2011
1|2010
1|2010
1|1988
1|2004
1|1995
1|1997
1|2008
1|2003
1|2003
1|2011
1|1996
1|2011
1|1997
1|1986
1|2010
1|1981
1|2011
1|2010
1|1986
1|2009
1|2003
1|1989
1|2010
1|2006
1|2011
1|1974
1|1986
1|2008
1|2004
1|2006
1|2002
1|2010
1|2011
1|2007
1|2008
1|2011
1|2004
1|1995
1|2011
1|2005
1|2011
1|1989
1|1992
1|1992
1|1988
1|2004
1|2011
1|2007
1|2011
1|1991
1|1971
1|1977
1|1984
1|2006
1|1970
1|2006
1|2009
1|2008
1|2008
1|1998
1|2006
1|2004
1|2009
1|2011
1|2008
1|2011
1|1989
1|1992
1|2009
1|1989
1|2009
1|2011
1|1995
1|2011
1|1992
1|2011
1|1993
1|2009
1|1981
1|1999
1|1986
1|1975
1|1960
1|2009
1|2010
1|2004
1|2005
1|2011
1|2002
1|2003
1|2009
1|2001
1|1998
1|1983
1|2001
1|2007
1|2011
1|2008
1|2011
1|2001
1|1982
1|2002
1|2001
1|1983
1|2008
1|1994
1|1998
1|2009
1|1992
1|1998
1|2004
1|2011
1|2010
1|2011
1|2009
1|1995
1|2003
1|2003
1|1998
1|1980
1|1995
1|2009
1|2007
1|2011
1|2009
1|2000
1|2011
1|2008
1|2010
1|1986
1|2006
1|2009
1|1991
1|2007
1|1994
1|2011
1|2007
1|2006
1|2011
1|1990
1|2000
1|2009
1|2004
1|2011
1|1988
1|1984
1|2009
1|1985
1|1992
1|1990
1|1997
1|2010
1|1990
1|2008
1|2002
1|2000
1|2006
1|2009
1|1987
1|2012
1|2011
1|2007
1|2004
1|2007
1|1999
1|1998
1|2002
1|2011
1|2000
1|2008
1|2003
1|2007
1|2002
1|2005
1|2008
1|2010
1|1988
1|2001
1|2004
1|2002
1|2007
1|1997
1|2000
1|1986
1|2010
1|1984
1|2002
1|2003
1|2004
1|2005
1|2006
1|1997
1|2007
1|1988
1|2005
1|2010
1|2011
1|1983
1|2001
1|2011
1|1989
1|1978
1|2010
1|2010
1|2005
1|1993
1|2008
1|1991
1|1997
1|2010
1|2005
1|1998
1|2010
1|2008
1|2010
1|2011
1|2011
1|2007
1|2008
1|1992
1|2000
1|2005
1|1998
1|2005
1|1985
1|2008
1|1965
1|2004
1|1987
1|1983
1|2011
1|2009
1|2009
1|2011
1|1989
1|2010
1|1981
1|2010
1|2004
1|2001
1|2006
1|1970
1|1996
1|2010
1|2005
1|2005
1|2001
1|1998
1|2010
1|2011
1|2007
1|2005
1|1984
1|1990
1|1994
1|2008
1|1976
1|2011
1|2009
1|2008
1|2010
1|1977
1|2011
1|2009
1|1987
1|2005
1|2009
1|2000
1|2002
1|2002
